delivery_id,order_id,courier_id,distance_km,estimated_delivery_minutes,pickup_time,delivered_time,delivery_status,actual_delivery_minutes
DEL-000001,ORD-000001,CUR-0212,7.0,61,2025-12-07 13:58:00,2025-12-07 14:59:00,delivered,61.0
DEL-000002,ORD-000002,CUR-0171,6.7,54,2025-09-09 18:02:00,2025-09-09 19:24:00,delivered,82.0
DEL-000003,ORD-000003,CUR-0180,1.5,26,2025-11-25 19:43:00,2025-11-25 20:16:00,delivered,33.0
DEL-000004,ORD-000004,CUR-0173,3.1,45,2025-11-03 11:20:00,2025-11-03 12:08:00,delivered,48.0
DEL-000005,ORD-000005,CUR-0080,4.3,42,2025-11-28 23:53:00,2025-11-29 00:34:00,delivered,41.0
DEL-000006,ORD-000006,CUR-0250,4.6,39,2025-12-19 18:57:00,2025-12-19 19:39:00,delivered,42.0
DEL-000007,ORD-000007,CUR-0034,1.3,27,2025-12-14 18:18:00,2025-12-14 18:49:00,delivered,31.0
DEL-000008,ORD-000008,CUR-0136,1.3,32,2024-09-17 17:06:00,2024-09-17 17:45:00,delivered,39.0
DEL-000009,ORD-000009,CUR-0202,8.9,68,2024-10-31 15:54:00,2024-10-31 17:18:00,delivered,84.0
DEL-000010,ORD-000010,CUR-0242,3.4,39,2025-11-12 17:15:00,2025-11-12 17:56:00,delivered,41.0
DEL-000011,ORD-000011,CUR-0111,9.1,62,2025-08-20 19:12:00,2025-08-20 20:13:00,delivered,61.0
DEL-000012,ORD-000012,CUR-0176,2.2,25,2025-11-22 10:19:00,2025-11-22 10:46:00,delivered,-3.0
DEL-000013,ORD-000013,CUR-0195,8.9,72,2024-11-19 15:36:00,2024-11-19 17:04:00,delivered,88.0
DEL-000014,ORD-000014,CUR-0075,2.5,30,2025-12-22 16:06:00,2025-12-22 16:43:00,delivered,37.0
DEL-000015,ORD-000015,CUR-0133,7.2,66,2025-09-30 11:38:00,2025-09-30 12:39:00,delivered,61.0
DEL-000016,ORD-000016,CUR-0149,5.2,39,2025-11-23 10:05:00,2025-11-23 10:39:00,delivered,34.0
DEL-000017,ORD-000017,CUR-0036,9.1,65,2025-12-30 16:58:00,2025-12-30 18:20:00,delivered,82.0
DEL-000018,ORD-000018,CUR-0148,6.7,65,2025-09-06 20:04:00,2025-09-06 21:16:00,delivered,72.0
DEL-000019,ORD-000019,CUR-0140,7.0,53,2025-10-20 23:57:00,2025-10-21 00:49:00,delivered,-3.0
DEL-000020,ORD-000020,CUR-0100,9.4,76,2025-12-23 16:01:00,2025-12-23 17:16:00,delivered,75.0
DEL-000021,ORD-000021,CUR-0057,2.7,30,2025-12-22 17:16:00,2025-12-22 17:51:00,delivered,35.0
DEL-000022,ORD-000022,CUR-0238,2.7,38,2025-12-17 11:17:00,2025-12-17 11:51:00,delivered,34.0
DEL-000023,ORD-000023,CUR-0178,1.4,28,2025-06-11 11:21:00,2025-06-11 11:49:00,delivered,28.0
DEL-000024,ORD-000024,CUR-0163,2.8,36,2025-09-20 20:53:00,2025-09-20 21:27:00,delivered,34.0
