payment_id,order_id,payment_method,payment_status,currency,food_amount,delivery_fee,total_amount
PAY-000001,ORD-000001,apple_pay,paid,EUR,68.39,3.99,72.38
PAY-000002,ORD-000002,paypal,paid,EUR,42.71,0.0,42.71
PAY-000003,ORD-000003,card,paid,EUR,12.89,3.99,16.88
PAY-000004,ORD-000004,paypal,paid,EUR,67.5,3.99,71.49
PAY-000005,ORD-000005,paypal,paid,EUR,11.47,3.99,15.46
PAY-000006,ORD-000006,paypal,paid,EUR,9.48,3.99,13.47
PAY-000007,ORD-000007,paypal,paid,EUR,48.53,3.99,52.52
PAY-000008,ORD-000008,card,paid,EUR,17.4,3.99,21.39
PAY-000009,ORD-000009,apple_pay,paid,EUR,18.23,3.99,22.22
PAY-000010,ORD-000010,google_pay,paid,EUR,62.37,0.0,62.37
PAY-000011,ORD-000011,google_pay,paid,EUR,34.46,3.99,38.45
PAY-000012,ORD-000012,google_pay,paid,EUR,10.83,3.99,14.82
PAY-000013,ORD-000013,paypal,paid,EUR,61.99,3.99,65.98
PAY-000014,ORD-000014,paypal,paid,EUR,51.2,0.0,51.2
PAY-000015,ORD-000015,google_pay,paid,EUR,42.27,3.99,46.26
PAY-000016,ORD-000016,google_pay,paid,EUR,51.86,3.99,55.85
PAY-000017,ORD-000017,card,paid,EUR,25.95,3.99,29.94
PAY-000018,ORD-000018,google_pay,paid,EUR,49.31,3.99,53.3
PAY-000019,ORD-000019,apple_pay,paid,EUR,38.24,0.0,38.24
PAY-000020,ORD-000020,apple_pay,paid,EUR,50.83,3.99,54.82
PAY-000021,ORD-000021,google_pay,paid,EUR,43.98,3.99,47.97
PAY-000022,ORD-000022,apple_pay,paid,EUR,19.49,3.99,23.48
PAY-000023,ORD-000023,card,paid,EUR,44.66,0.0,44.66
PAY-000024,ORD-000024,paypal,paid,EUR,16.75,3.99,20.74
PAY-000025,ORD-000025,paypal,paid,EUR,30.58,3.99,34.57
PAY-000026,ORD-000026,paypal,paid,EUR,11.21,3.99,15.2
PAY-000027,ORD-000027,apple_pay,paid,EUR,28.96,3.99,32.95
PAY-000028,ORD-000028,paypal,paid,EUR,50.44,3.99,54.43
PAY-000029,ORD-000029,apple_pay,paid,EUR,34.76,3.99,38.75
PAY-000030,ORD-000030,paypal,refunded,EUR,32.11,3.99,36.1
PAY-000031,ORD-000031,google_pay,paid,EUR,36.83,3.99,40.82
PAY-000032,ORD-000032,apple_pay,refunded,EUR,37.49,3.99,41.48
PAY-000033,ORD-000033,apple_pay,paid,EUR,64.77,3.99,68.76
PAY-000034,ORD-000034,paypal,paid,EUR,26.01,3.99,30.0
PAY-000035,ORD-000035,apple_pay,paid,EUR,47.05,0.0,47.05
PAY-000036,ORD-000036,paypal,refunded,EUR,39.93,0.0,39.93
PAY-000037,ORD-000037,apple_pay,paid,EUR,15.41,3.99,19.4
PAY-000038,ORD-000038,apple_pay,paid,EUR,64.4,0.0,64.4
PAY-000039,ORD-000039,google_pay,paid,EUR,67.05,3.99,71.04
PAY-000040,ORD-000040,apple_pay,paid,EUR,19.19,3.99,23.18
PAY-000041,ORD-000041,paypal,refunded,EUR,31.25,3.99,35.24
PAY-000042,ORD-000042,google_pay,paid,EUR,18.09,3.99,22.08
PAY-000043,ORD-000043,apple_pay,paid,EUR,58.25,3.99,62.24
PAY-000044,ORD-000044,apple_pay,refunded,EUR,62.51,3.99,66.5
PAY-000045,ORD-000045,paypal,paid,EUR,27.67,3.99,31.66
PAY-000046,ORD-000046,apple_pay,paid,EUR,32.03,3.99,36.02
PAY-000047,ORD-000047,card,refunded,EUR,57.5,3.99,61.49
PAY-000048,ORD-000048,paypal,paid,EUR,29.86,3.99,33.85
PAY-000049,ORD-000049,card,paid,EUR,53.09,3.99,57.08
PAY-000050,ORD-000050,paypal,refunded,EUR,36.68,0.0,36.68
PAY-000051,ORD-000051,apple_pay,paid,EUR,69.09,0.0,69.09
PAY-000052,ORD-000052,paypal,paid,EUR,56.47,3.99,60.46
PAY-000053,ORD-000053,paypal,paid,EUR,67.57,3.99,71.56
PAY-000054,ORD-000054,google_pay,refunded,EUR,57.19,3.99,61.18
PAY-000055,ORD-000055,card,paid,EUR,62.34,3.99,66.33
PAY-000056,ORD-000056,google_pay,paid,EUR,14.07,1.49,15.56
PAY-000057,ORD-000057,apple_pay,paid,EUR,47.21,3.99,51.2
PAY-000058,ORD-000058,paypal,paid,EUR,66.32,3.99,70.31
PAY-000059,ORD-000059,apple_pay,paid,EUR,40.87,3.99,44.86
PAY-000060,ORD-000060,paypal,paid,EUR,67.21,3.99,71.2
PAY-000061,ORD-000061,paypal,paid,EUR,9.98,3.99,13.97
PAY-000062,ORD-000062,google_pay,paid,EUR,48.94,3.99,52.93
PAY-000063,ORD-000063,apple_pay,paid,EUR,14.4,3.99,18.39
PAY-000064,ORD-000064,card,refunded,EUR,61.82,0.0,61.82
PAY-000065,ORD-000065,paypal,paid,EUR,34.79,3.99,38.78
PAY-000066,ORD-000066,card,paid,EUR,48.46,0.0,48.46
PAY-000067,ORD-000067,paypal,paid,EUR,36.55,3.99,40.54
PAY-000068,ORD-000068,apple_pay,paid,EUR,38.79,0.0,38.79
PAY-000069,ORD-000069,card,paid,EUR,51.74,3.99,55.73
PAY-000070,ORD-000070,apple_pay,paid,EUR,10.8,3.99,14.79
PAY-000071,ORD-000071,apple_pay,paid,EUR,11.28,3.99,15.27
PAY-000072,ORD-000072,card,paid,EUR,57.84,0.0,57.84
PAY-000073,ORD-000073,google_pay,paid,EUR,62.97,3.99,66.96
PAY-000074,ORD-000074,paypal,paid,EUR,43.35,3.99,47.34
PAY-000075,ORD-000075,google_pay,paid,EUR,45.33,3.99,49.32
PAY-000076,ORD-000076,card,paid,EUR,37.37,3.99,41.36
PAY-000077,ORD-000077,apple_pay,paid,EUR,10.92,1.49,12.41
PAY-000078,ORD-000078,card,paid,EUR,39.48,0.0,39.48
PAY-000079,ORD-000079,card,paid,EUR,66.18,0.0,66.18
PAY-000080,ORD-000080,apple_pay,paid,EUR,53.95,0.0,53.95
PAY-000081,ORD-000081,apple_pay,paid,EUR,18.58,3.99,22.57
PAY-000082,ORD-000082,google_pay,paid,EUR,42.48,0.0,42.48
PAY-000083,ORD-000083,card,refunded,EUR,40.41,3.99,44.4
PAY-000084,ORD-000084,apple_pay,paid,EUR,27.12,3.99,31.11
PAY-000085,ORD-000085,card,paid,EUR,38.96,0.0,38.96
PAY-000086,ORD-000086,google_pay,paid,EUR,24.14,3.99,28.13
PAY-000087,ORD-000087,apple_pay,paid,EUR,38.25,3.99,42.24
PAY-000088,ORD-000088,card,paid,EUR,60.52,3.99,64.51
PAY-000089,ORD-000089,google_pay,paid,EUR,28.04,3.99,32.03
PAY-000090,ORD-000090,paypal,paid,EUR,45.81,0.0,45.81
PAY-000091,ORD-000091,card,paid,EUR,16.3,0.0,16.3
PAY-000092,ORD-000092,paypal,paid,EUR,65.97,3.99,69.96
PAY-000093,ORD-000093,card,paid,EUR,36.28,3.99,40.27
PAY-000094,ORD-000094,google_pay,paid,EUR,46.97,3.99,50.96
PAY-000095,ORD-000095,apple_pay,paid,EUR,42.39,3.99,46.38
PAY-000096,ORD-000096,apple_pay,paid,EUR,49.81,0.0,49.81
PAY-000097,ORD-000097,google_pay,paid,EUR,51.32,3.99,55.31
PAY-000098,ORD-000098,paypal,paid,EUR,50.76,0.0,50.76
PAY-000099,ORD-000099,apple_pay,paid,EUR,8.71,3.99,12.7
PAY-000100,ORD-000100,card,paid,EUR,37.2,3.99,41.19
PAY-000101,ORD-000101,apple_pay,paid,EUR,26.9,0.0,26.9
PAY-000102,ORD-000102,paypal,paid,EUR,48.58,0.0,48.58
PAY-000103,ORD-000103,apple_pay,paid,EUR,55.56,3.99,59.55
PAY-000104,ORD-000104,google_pay,paid,EUR,16.59,3.99,20.58
PAY-000105,ORD-000105,google_pay,paid,EUR,38.4,3.99,42.39
PAY-000106,ORD-000106,google_pay,paid,EUR,25.25,3.99,29.24
PAY-000107,ORD-000107,google_pay,paid,EUR,28.84,3.99,32.83
PAY-000108,ORD-000108,google_pay,paid,EUR,25.36,3.99,29.35
PAY-000109,ORD-000109,google_pay,paid,EUR,53.57,3.99,57.56
PAY-000110,ORD-000110,google_pay,paid,EUR,42.46,3.99,46.45
PAY-000111,ORD-000111,google_pay,paid,EUR,20.77,3.99,24.76
PAY-000112,ORD-000112,apple_pay,paid,EUR,14.28,1.49,15.77
PAY-000113,ORD-000113,card,paid,EUR,22.67,3.99,26.66
PAY-000114,ORD-000114,card,paid,EUR,48.49,0.0,48.49
PAY-000115,ORD-000115,google_pay,paid,EUR,13.85,3.99,17.84
PAY-000116,ORD-000116,apple_pay,paid,EUR,57.92,3.99,61.91
PAY-000117,ORD-000117,apple_pay,paid,EUR,44.43,3.99,48.42
PAY-000118,ORD-000118,paypal,paid,EUR,69.42,3.99,73.41
PAY-000119,ORD-000119,google_pay,paid,EUR,27.26,0.0,27.26
PAY-000120,ORD-000120,google_pay,paid,EUR,15.3,3.99,19.29
PAY-000121,ORD-000121,paypal,paid,EUR,26.65,0.0,26.65
PAY-000122,ORD-000122,paypal,paid,EUR,27.5,3.99,31.49
PAY-000123,ORD-000123,paypal,paid,EUR,24.92,3.99,28.91
PAY-000124,ORD-000124,card,paid,EUR,18.74,0.0,18.74
PAY-000125,ORD-000125,card,paid,EUR,8.62,1.49,10.11
