"delivery_id","order_id","courier_id","distance_km","estimated_delivery_minutes","pickup_time","delivered_time","delivery_status","actual_delivery_minutes","has_delivered_before_pickup","has_invalid_delivery_duration","has_unusual_delivery_duration"
"DEL-000001","ORD-000001","CUR-0212",7.00,61,"2025-12-07 13:58:00","2025-12-07 14:59:00","delivered",61,False,False,False
"DEL-000002","ORD-000002","CUR-0171",6.70,54,"2025-09-09 18:02:00","2025-09-09 19:24:00","delivered",82,False,False,False
"DEL-000003","ORD-000003","CUR-0180",1.50,26,"2025-11-25 19:43:00","2025-11-25 20:16:00","delivered",33,False,False,False
"DEL-000004","ORD-000004","CUR-0173",3.10,45,"2025-11-03 11:20:00","2025-11-03 12:08:00","delivered",48,False,False,False
"DEL-000005","ORD-000005","CUR-0080",4.30,42,"2025-11-28 23:53:00","2025-11-29 00:34:00","delivered",41,False,False,False
"DEL-000006","ORD-000006","CUR-0250",4.60,39,"2025-12-19 18:57:00","2025-12-19 19:39:00","delivered",42,False,False,False
"DEL-000007","ORD-000007","CUR-0034",1.30,27,"2025-12-14 18:18:00","2025-12-14 18:49:00","delivered",31,False,False,False
"DEL-000008","ORD-000008","CUR-0136",1.30,32,"2024-09-17 17:06:00","2024-09-17 17:45:00","delivered",39,False,False,False
"DEL-000009","ORD-000009","CUR-0202",8.90,68,"2024-10-31 15:54:00","2024-10-31 17:18:00","delivered",84,False,False,False
"DEL-000010","ORD-000010","CUR-0242",3.40,39,"2025-11-12 17:15:00","2025-11-12 17:56:00","delivered",41,False,False,False
"DEL-000011","ORD-000011","CUR-0111",9.10,62,"2025-08-20 19:12:00","2025-08-20 20:13:00","delivered",61,False,False,False
"DEL-000012","ORD-000012","CUR-0176",2.20,25,"2025-11-22 10:19:00","2025-11-22 10:46:00","delivered",-3,False,True,True
"DEL-000013","ORD-000013","CUR-0195",8.90,72,"2024-11-19 15:36:00","2024-11-19 17:04:00","delivered",88,False,False,False
"DEL-000014","ORD-000014","CUR-0075",2.50,30,"2025-12-22 16:06:00","2025-12-22 16:43:00","delivered",37,False,False,False
"DEL-000015","ORD-000015","CUR-0133",7.20,66,"2025-09-30 11:38:00","2025-09-30 12:39:00","delivered",61,False,False,False
"DEL-000016","ORD-000016","CUR-0149",5.20,39,"2025-11-23 10:05:00","2025-11-23 10:39:00","delivered",34,False,False,False
"DEL-000017","ORD-000017","CUR-0036",9.10,65,"2025-12-30 16:58:00","2025-12-30 18:20:00","delivered",82,False,False,False
"DEL-000018","ORD-000018","CUR-0148",6.70,65,"2025-09-06 20:04:00","2025-09-06 21:16:00","delivered",72,False,False,False
"DEL-000019","ORD-000019","CUR-0140",7.00,53,"2025-10-20 23:57:00","2025-10-21 00:49:00","delivered",-3,False,True,True
"DEL-000020","ORD-000020","CUR-0100",9.40,76,"2025-12-23 16:01:00","2025-12-23 17:16:00","delivered",75,False,False,False
"DEL-000021","ORD-000021","CUR-0057",2.70,30,"2025-12-22 17:16:00","2025-12-22 17:51:00","delivered",35,False,False,False
"DEL-000022","ORD-000022","CUR-0238",2.70,38,"2025-12-17 11:17:00","2025-12-17 11:51:00","delivered",34,False,False,False
"DEL-000023","ORD-000023","CUR-0178",1.40,28,"2025-06-11 11:21:00","2025-06-11 11:49:00","delivered",28,False,False,False
"DEL-000024","ORD-000024","CUR-0163",2.80,36,"2025-09-20 20:53:00","2025-09-20 21:27:00","delivered",34,False,False,False
"DEL-000025","ORD-000025","CUR-0106",2.80,27,"2025-11-08 23:16:00","2025-11-08 23:42:00","delivered",26,False,False,False
"DEL-000026","ORD-000026","CUR-0149",4.20,52,"2025-10-10 09:32:00","2025-10-10 10:23:00","delivered",51,False,False,False
"DEL-000027","ORD-000027","CUR-0025",8.50,74,"2025-09-06 15:20:00","2025-09-06 16:45:00","delivered",85,False,False,False
"DEL-000028","ORD-000028","CUR-0181",1.00,28,NULL,NULL,"delivered",42,False,False,False
"DEL-000029","ORD-000029","CUR-0115",7.40,57,"2025-01-28 23:35:00","2025-01-29 00:35:00","delivered",60,False,False,False
"DEL-000030","ORD-000030","CUR-0247",5.90,60,NULL,NULL,"cancelled",NULL,False,False,False
"DEL-000031","ORD-000031","CUR-0068",8.50,55,"2025-11-09 18:46:00","2025-11-09 19:43:00","delivered",57,False,False,False
"DEL-000032","ORD-000032","CUR-0164",6.70,54,NULL,NULL,"cancelled",NULL,False,False,False
"DEL-000033","ORD-000033","CUR-0003",9.20,71,"2024-11-15 18:43:00","2024-11-15 19:49:00","delivered",66,False,False,False
"DEL-000034","ORD-000034","CUR-0028",3.20,40,NULL,NULL,"delivered",40,False,False,False
"DEL-000035","ORD-000035","CUR-0089",5.40,64,"2025-11-21 09:33:00","2025-11-21 10:37:00","delivered",64,False,False,False
"DEL-000036","ORD-000036","CUR-0030",5.60,56,NULL,NULL,"cancelled",NULL,False,False,False
